Vmag,Plx,B-V,Abs Mag
9.72,6.43,0.434,0.4955780541515555
7.12,8.19,0.184,1.3254321964791633
9.77,6.67,0.306,0.4437483321669024
8.84,4.37,1.042,1.1830371260591563
5.67,10.02,1.119,1.730264556937546
8.15,9.77,0.617,0.7602108725624539
9.61,3.92,0.961,0.9694278659590857
8.19,3.44,1.079,1.6508831148569398
7.27,4.9,0.207,1.7116078399429724
8.51,3.26,0.215,1.5695647998641222
8.36,2.42,1.113,1.8883692680391377
10.0,4.93,0.55,0.6143061614455402
8.74,1.92,1.227,1.9373975425929006
6.18,3.25,1.366,2.504233278042251
10.26,7.53,0.73,0.14241004759859877
10.16,5.68,0.393,0.4273033285779622
8.31,4.08,1.053,1.4546796738202399
8.58,3.46,0.915,1.4898478024144466
7.04,36.18,0.624,0.06706287495241021
8.81,3.75,0.31,1.327937464544562
